time(micros),GSR,skin_resistance
999,353.0,16.47673314339981
1064,353.0,16.47673314339981
1130,353.0,16.47673314339981
1195,354.0,16.413662239089184
1260,354.0,16.413662239089184
1326,354.0,16.413662239089184
1390,354.0,16.413662239089184
1456,355.0,16.35071090047393
1520,355.0,16.35071090047393
1586,355.0,16.35071090047393
1651,356.0,16.287878787878785
1716,357.0,16.225165562913908
1781,357.0,16.225165562913908
1847,357.0,16.225165562913908
1911,358.0,16.162570888468807
1977,358.0,16.162570888468807
2042,358.0,16.162570888468807
2107,358.0,16.162570888468807
2172,359.0,16.100094428706328
2237,360.0,16.037735849056602
2302,359.0,16.100094428706328
2368,360.0,16.037735849056602
2433,360.0,16.037735849056602
2498,360.0,16.037735849056602
2564,360.0,16.037735849056602
2628,361.0,15.97549481621112
2694,361.0,15.97549481621112
2759,361.0,15.97549481621112
2824,361.0,15.97549481621112
2889,362.0,15.913370998116761
2954,362.0,15.913370998116761
3019,362.0,15.913370998116761
3085,362.0,15.913370998116761
3149,363.0,15.851364063969896
3215,363.0,15.851364063969896
3280,363.0,15.851364063969896
3346,363.0,15.851364063969896
3410,363.0,15.851364063969896
3476,363.0,15.851364063969896
3540,363.0,15.851364063969896
3606,363.0,15.851364063969896
3672,364.0,15.789473684210526
3736,364.0,15.789473684210526
3802,363.0,15.851364063969896
3867,364.0,15.789473684210526
3932,365.0,15.727699530516432
3997,365.0,15.727699530516432
4063,365.0,15.727699530516432
4127,365.0,15.727699530516432
4193,365.0,15.727699530516432
4258,365.0,15.727699530516432
4323,364.0,15.789473684210526
4388,365.0,15.727699530516432
4453,364.0,15.789473684210526
4518,364.0,15.789473684210526
4584,364.0,15.789473684210526
4648,364.0,15.789473684210526
4714,364.0,15.789473684210526
4780,363.0,15.851364063969896
4845,363.0,15.851364063969896
4910,363.0,15.851364063969896
4975,363.0,15.851364063969896
5040,363.0,15.851364063969896
5105,363.0,15.851364063969896
5171,363.0,15.851364063969896
5236,362.0,15.913370998116761
5301,362.0,15.913370998116761
5366,363.0,15.851364063969896
5432,362.0,15.913370998116761
5496,361.0,15.97549481621112
5562,360.0,16.037735849056602
5626,361.0,15.97549481621112
5692,359.0,16.100094428706328
5757,358.0,16.162570888468807
5823,357.0,16.225165562913908
5888,357.0,16.225165562913908
5953,355.0,16.35071090047393
6019,354.0,16.413662239089184
6084,354.0,16.413662239089184
6149,353.0,16.47673314339981
6214,353.0,16.47673314339981
6280,352.0,16.539923954372625
6345,351.0,16.603235014272123
6411,351.0,16.603235014272123
6476,350.0,16.666666666666668
6542,350.0,16.666666666666668
6606,350.0,16.666666666666668
6672,350.0,16.666666666666668
6737,349.0,16.7302192564347
6802,350.0,16.666666666666668
6867,350.0,16.666666666666668
6933,350.0,16.666666666666668
6998,350.0,16.666666666666668
7063,351.0,16.603235014272123
7129,351.0,16.603235014272123
7194,350.0,16.666666666666668
7260,351.0,16.603235014272123
7325,352.0,16.539923954372625
7390,352.0,16.539923954372625
7455,352.0,16.539923954372625
7521,353.0,16.47673314339981
7586,353.0,16.47673314339981
7652,353.0,16.47673314339981
7717,353.0,16.47673314339981
7783,355.0,16.35071090047393
7848,355.0,16.35071090047393
7914,355.0,16.35071090047393
7980,356.0,16.287878787878785
8044,356.0,16.287878787878785
8110,357.0,16.225165562913908
8175,356.0,16.287878787878785
8240,357.0,16.225165562913908
8305,357.0,16.225165562913908
8371,357.0,16.225165562913908
8435,357.0,16.225165562913908
8501,358.0,16.162570888468807
8566,358.0,16.162570888468807
8631,358.0,16.162570888468807
8696,358.0,16.162570888468807
8762,359.0,16.100094428706328
8827,360.0,16.037735849056602
8893,359.0,16.100094428706328
8957,360.0,16.037735849056602
9023,360.0,16.037735849056602
9089,360.0,16.037735849056602
9154,360.0,16.037735849056602
9219,361.0,15.97549481621112
9284,361.0,15.97549481621112
9350,360.0,16.037735849056602
9415,360.0,16.037735849056602
9481,362.0,15.913370998116761
9546,361.0,15.97549481621112
9612,361.0,15.97549481621112
9677,362.0,15.913370998116761
9742,362.0,15.913370998116761
9807,362.0,15.913370998116761
9873,362.0,15.913370998116761
9938,363.0,15.851364063969896
10004,362.0,15.913370998116761
10074,362.0,15.913370998116761
10144,363.0,15.851364063969896
10214,363.0,15.851364063969896
10284,363.0,15.851364063969896
10354,363.0,15.851364063969896
10424,363.0,15.851364063969896
10494,363.0,15.851364063969896
10564,363.0,15.851364063969896
10634,362.0,15.913370998116761
10704,362.0,15.913370998116761
10774,362.0,15.913370998116761
10845,362.0,15.913370998116761
10914,362.0,15.913370998116761
10985,362.0,15.913370998116761
11055,362.0,15.913370998116761
11124,362.0,15.913370998116761
11195,362.0,15.913370998116761
11265,362.0,15.913370998116761
11335,362.0,15.913370998116761
11405,361.0,15.97549481621112
11475,361.0,15.97549481621112
11545,361.0,15.97549481621112
11615,362.0,15.913370998116761
11685,361.0,15.97549481621112
11755,362.0,15.913370998116761
11826,360.0,16.037735849056602
11895,361.0,15.97549481621112
11965,360.0,16.037735849056602
12036,361.0,15.97549481621112
12105,360.0,16.037735849056602
12176,361.0,15.97549481621112
12246,360.0,16.037735849056602
12316,361.0,15.97549481621112
12386,360.0,16.037735849056602
12455,360.0,16.037735849056602
12526,359.0,16.100094428706328
12596,360.0,16.037735849056602
12666,359.0,16.100094428706328
12736,359.0,16.100094428706328
12807,357.0,16.225165562913908
12876,357.0,16.225165562913908
12946,356.0,16.287878787878785
13017,356.0,16.287878787878785
13086,355.0,16.35071090047393
13157,355.0,16.35071090047393
13227,354.0,16.413662239089184
13296,354.0,16.413662239089184
13367,353.0,16.47673314339981
13436,353.0,16.47673314339981
13507,352.0,16.539923954372625
13577,352.0,16.539923954372625
13646,352.0,16.539923954372625
13717,352.0,16.539923954372625
13787,352.0,16.539923954372625
13857,352.0,16.539923954372625
13927,352.0,16.539923954372625
13998,353.0,16.47673314339981
14067,352.0,16.539923954372625
14137,353.0,16.47673314339981
14208,353.0,16.47673314339981
14277,354.0,16.413662239089184
14348,354.0,16.413662239089184
14417,354.0,16.413662239089184
14488,354.0,16.413662239089184
14558,355.0,16.35071090047393
14627,355.0,16.35071090047393
14698,356.0,16.287878787878785
14768,355.0,16.35071090047393
14838,356.0,16.287878787878785
14908,356.0,16.287878787878785
14978,357.0,16.225165562913908
15048,357.0,16.225165562913908
15118,357.0,16.225165562913908
15188,358.0,16.162570888468807
15258,358.0,16.162570888468807
15329,359.0,16.100094428706328
15398,359.0,16.100094428706328
15468,359.0,16.100094428706328
15539,359.0,16.100094428706328
15608,360.0,16.037735849056602
15679,359.0,16.100094428706328
