time(micros),GSR,skin_resistance
999,392.0,14.102564102564102
1064,391.0,14.161319890009166
1130,390.0,14.220183486238533
1195,390.0,14.220183486238533
1260,390.0,14.220183486238533
1326,389.0,14.279155188246097
1390,389.0,14.279155188246097
1456,389.0,14.279155188246097
1520,388.0,14.338235294117645
1586,389.0,14.279155188246097
1651,389.0,14.279155188246097
1716,388.0,14.338235294117645
1781,390.0,14.220183486238533
1847,389.0,14.279155188246097
1911,389.0,14.279155188246097
1977,389.0,14.279155188246097
2042,389.0,14.279155188246097
2107,389.0,14.279155188246097
2172,390.0,14.220183486238533
2237,390.0,14.220183486238533
2302,390.0,14.220183486238533
2368,390.0,14.220183486238533
2434,391.0,14.161319890009166
2498,391.0,14.161319890009166
2564,391.0,14.161319890009166
2629,391.0,14.161319890009166
2694,392.0,14.102564102564102
2759,392.0,14.102564102564102
2825,393.0,14.04391582799634
2889,393.0,14.04391582799634
2955,393.0,14.04391582799634
3020,393.0,14.04391582799634
3085,394.0,13.985374771480805
3150,394.0,13.985374771480805
3216,394.0,13.985374771480805
3281,394.0,13.985374771480805
3347,394.0,13.985374771480805
3411,395.0,13.926940639269407
3477,395.0,13.926940639269407
3543,395.0,13.926940639269407
3607,395.0,13.926940639269407
3673,395.0,13.926940639269407
3738,396.0,13.868613138686133
3804,396.0,13.868613138686133
3869,396.0,13.868613138686133
3934,396.0,13.868613138686133
3999,396.0,13.868613138686133
4065,397.0,13.810391978122153
4130,396.0,13.868613138686133
4195,397.0,13.810391978122153
4260,397.0,13.810391978122153
4326,397.0,13.810391978122153
4390,397.0,13.810391978122153
4456,398.0,13.752276867030965
4521,398.0,13.752276867030965
4587,398.0,13.752276867030965
4652,398.0,13.752276867030965
4717,398.0,13.752276867030965
4783,398.0,13.752276867030965
4848,398.0,13.752276867030965
4914,399.0,13.694267515923569
4979,399.0,13.694267515923569
5045,399.0,13.694267515923569
5110,399.0,13.694267515923569
5175,399.0,13.694267515923569
5240,399.0,13.694267515923569
5306,399.0,13.694267515923569
5370,399.0,13.694267515923569
5436,399.0,13.694267515923569
5501,399.0,13.694267515923569
5567,399.0,13.694267515923569
5633,399.0,13.694267515923569
5697,397.0,13.810391978122153
5763,397.0,13.810391978122153
5828,396.0,13.868613138686133
5894,396.0,13.868613138686133
5959,396.0,13.868613138686133
6025,396.0,13.868613138686133
6089,406.0,13.291139240506329
6155,399.0,13.694267515923569
6220,397.0,13.810391978122153
6286,396.0,13.868613138686133
6351,395.0,13.926940639269407
6417,395.0,13.926940639269407
6482,396.0,13.868613138686133
6548,396.0,13.868613138686133
6612,395.0,13.926940639269407
6678,396.0,13.868613138686133
6744,396.0,13.868613138686133
6808,396.0,13.868613138686133
6874,396.0,13.868613138686133
6939,396.0,13.868613138686133
7005,396.0,13.868613138686133
7070,397.0,13.810391978122153
7136,396.0,13.868613138686133
7201,396.0,13.868613138686133
7266,397.0,13.810391978122153
7331,397.0,13.810391978122153
7397,397.0,13.810391978122153
7462,397.0,13.810391978122153
7528,397.0,13.810391978122153
7593,397.0,13.810391978122153
7659,397.0,13.810391978122153
7725,398.0,13.752276867030965
7790,397.0,13.810391978122153
7856,397.0,13.810391978122153
7921,398.0,13.752276867030965
7987,398.0,13.752276867030965
8052,398.0,13.752276867030965
8118,398.0,13.752276867030965
8182,398.0,13.752276867030965
8248,398.0,13.752276867030965
8313,399.0,13.694267515923569
8378,398.0,13.752276867030965
8443,398.0,13.752276867030965
8509,398.0,13.752276867030965
8574,398.0,13.752276867030965
8640,398.0,13.752276867030965
8706,399.0,13.694267515923569
8771,399.0,13.694267515923569
8836,399.0,13.694267515923569
8901,399.0,13.694267515923569
8967,399.0,13.694267515923569
9032,399.0,13.694267515923569
9098,398.0,13.752276867030965
9163,398.0,13.752276867030965
9229,397.0,13.810391978122153
9294,397.0,13.810391978122153
9360,395.0,13.926940639269407
9425,394.0,13.985374771480805
9491,392.0,14.102564102564102
9556,390.0,14.220183486238533
9622,387.0,14.397424103035878
9688,386.0,14.456721915285451
9753,384.0,14.575645756457565
9819,382.0,14.695009242144177
9883,381.0,14.754856614246068
9949,380.0,14.814814814814815
10015,378.0,14.935064935064936
10086,377.0,14.995357474466111
10156,375.0,15.116279069767442
10226,374.0,15.176908752327746
10296,373.0,15.237651444547996
10365,372.0,15.298507462686565
10436,371.0,15.359477124183007
10506,371.0,15.359477124183007
10576,370.0,15.42056074766355
10646,369.0,15.481758652946677
10717,368.0,15.543071161048688
10786,368.0,15.543071161048688
10856,368.0,15.543071161048688
10927,367.0,15.604498594189318
10996,366.0,15.666041275797374
11067,366.0,15.666041275797374
11137,366.0,15.666041275797374
11207,365.0,15.727699530516432
11277,364.0,15.789473684210526
11346,364.0,15.789473684210526
11417,364.0,15.789473684210526
